City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
71,Pacific Grove,36.6177,-121.9166,87.48,72,0,7.0,US,2022-09-23 20:31:12,clear sky
72,Zeya,53.75,127.2667,39.45,93,36,2.64,RU,2022-09-23 20:31:37,scattered clouds
73,Mecca,21.4267,39.8261,88.18,32,35,4.59,SA,2022-09-23 20:27:45,scattered clouds
74,Port Lincoln,-34.7333,135.8667,49.87,70,3,9.82,AU,2022-09-23 20:30:15,clear sky
75,Zhezkazgan,47.8043,67.7144,67.48,34,0,8.5,KZ,2022-09-23 20:31:38,clear sky
76,Faanui,-16.4833,-151.75,77.74,75,22,19.91,PF,2022-09-23 20:31:38,light rain
77,Saldanha,-33.0117,17.9442,50.05,69,100,14.58,ZA,2022-09-23 20:31:38,overcast clouds
78,Watsa,3.0372,29.5355,63.19,98,94,1.16,CD,2022-09-23 20:31:39,light rain
79,Milove,49.3787,40.1302,46.22,91,35,13.58,UA,2022-09-23 20:31:39,scattered clouds
80,Zheshart,62.0731,49.5733,38.98,90,35,5.93,RU,2022-09-23 20:31:40,scattered clouds
81,Rio Grande,-32.035,-52.0986,64.51,65,2,12.33,BR,2022-09-23 20:30:11,clear sky
82,Nicoya,10.1483,-85.452,80.6,83,85,5.23,CR,2022-09-23 20:31:40,overcast clouds
83,Hobart,-42.8794,147.3294,49.86,86,100,21.85,AU,2022-09-23 20:28:58,light rain
84,Resistencia,-27.4606,-58.9839,75.25,24,0,3.44,AR,2022-09-23 20:31:41,clear sky
85,Medenychi,49.4305,23.7507,44.06,92,94,5.59,UA,2022-09-23 20:31:41,overcast clouds
86,Ilo,-17.6394,-71.3375,59.86,77,100,6.91,PE,2022-09-23 20:31:43,overcast clouds
87,Namibe,-15.1961,12.1522,63.68,78,3,8.68,AO,2022-09-23 20:31:43,clear sky
88,Khatanga,71.9667,102.5,21.42,90,84,8.46,RU,2022-09-23 20:29:38,broken clouds
89,Victoria,22.2855,114.1577,82.45,80,38,11.99,HK,2022-09-23 20:26:45,scattered clouds
90,Crotone,39.0851,17.1178,66.15,46,0,7.7,IT,2022-09-23 20:31:44,clear sky
91,Sai Buri,6.7013,101.6168,76.05,84,99,4.05,TH,2022-09-23 20:32:44,overcast clouds
92,Goderich,43.7501,-81.7165,57.9,51,4,9.22,CA,2022-09-23 20:32:45,clear sky
93,Syke,52.9,8.8333,57.02,88,0,2.3,DE,2022-09-23 20:32:45,clear sky
94,Floresta,-8.6011,-38.5686,92.12,29,9,11.65,BR,2022-09-23 20:32:45,clear sky
95,Pomabamba,-8.8333,-77.4667,63.97,38,68,7.61,PE,2022-09-23 20:32:46,broken clouds
96,Kinshasa,-4.3246,15.3215,78.46,70,68,4.05,CD,2022-09-23 20:32:01,light rain
97,Atuona,-9.8,-139.0333,76.17,80,18,13.42,PF,2022-09-23 20:32:46,light rain
98,Tupelo,34.2576,-88.7034,83.46,24,0,6.13,US,2022-09-23 20:32:47,clear sky
99,Krivosheino,57.3431,83.9261,38.23,85,72,6.02,RU,2022-09-23 20:32:47,broken clouds
100,Kanke,23.4333,85.3167,71.22,96,97,5.99,IN,2022-09-23 20:32:08,overcast clouds
101,Oktyabrskiy,54.4815,53.471,67.19,23,96,4.23,RU,2022-09-23 20:32:47,overcast clouds
102,Saint-Augustin,51.226,-58.6502,57.2,90,100,4.03,CA,2022-09-23 20:32:48,overcast clouds
103,Qaanaaq,77.484,-69.3632,16.88,80,32,6.44,GL,2022-09-23 20:32:48,scattered clouds
104,Arraial Do Cabo,-22.9661,-42.0278,69.66,64,100,17.27,BR,2022-09-23 20:32:49,overcast clouds
105,Yatou,37.15,122.3833,55.04,62,3,6.55,CN,2022-09-23 20:32:49,clear sky
106,Richards Bay,-28.783,32.0377,68.38,77,100,10.54,ZA,2022-09-23 20:32:49,overcast clouds
107,Burnie,-41.0667,145.9167,46.94,80,100,14.41,AU,2022-09-23 20:32:50,light rain
108,Tiksi,71.6872,128.8694,25.99,87,98,1.1,RU,2022-09-23 20:32:50,overcast clouds
109,Chokurdakh,70.6333,147.9167,31.3,91,93,5.28,RU,2022-09-23 20:32:51,overcast clouds
110,Lattes,43.5675,3.9046,70.05,88,100,6.91,FR,2022-09-23 20:32:51,light rain
111,Yar,58.249,52.1026,53.38,71,97,8.16,RU,2022-09-23 20:32:52,overcast clouds
112,Petropavl,54.8753,69.1628,60.6,58,94,5.79,KZ,2022-09-23 20:32:52,overcast clouds
113,Scarborough,54.2797,-0.4044,50.92,88,23,3.85,GB,2022-09-23 20:30:48,few clouds
114,Cidreira,-30.1811,-50.2056,58.93,61,6,17.52,BR,2022-09-23 20:28:18,clear sky
115,Fortuna,40.5982,-124.1573,69.93,76,1,1.99,US,2022-09-23 20:29:34,clear sky
116,Liverpool,53.4106,-2.9779,57.09,81,20,5.75,GB,2022-09-23 20:30:01,few clouds
117,Ongandjera,-17.8833,15.0667,72.46,16,0,13.91,NA,2022-09-23 20:32:53,clear sky
118,Basco,20.4487,121.9702,80.55,73,97,23.06,PH,2022-09-23 20:32:53,overcast clouds
119,San Fernando,15.0286,120.6898,78.53,95,69,2.33,PH,2022-09-23 20:32:53,broken clouds
120,Constitucion,-35.3333,-72.4167,58.08,75,89,13.29,CL,2022-09-23 20:30:57,moderate rain
121,Birao,10.2849,22.7882,72.37,93,75,5.37,CF,2022-09-23 20:32:54,broken clouds
122,Moshupa,-24.7782,25.4155,70.02,19,0,4.32,BW,2022-09-23 20:32:54,clear sky
123,Bud,39.447,-86.1758,66.15,55,100,3.6,US,2022-09-23 20:32:55,overcast clouds
124,Hermanus,-34.4187,19.2345,53.8,63,100,10.51,ZA,2022-09-23 20:32:55,overcast clouds
125,Paamiut,61.994,-49.6678,48.81,91,100,34.76,GL,2022-09-23 20:32:56,moderate rain
126,San-Pedro,4.7485,-6.6363,74.8,94,94,4.56,CI,2022-09-23 20:32:56,overcast clouds
127,Shanhetun,44.7,127.2,49.64,96,100,13.94,CN,2022-09-23 20:32:57,overcast clouds
128,Kitimat,54.0524,-128.6534,53.98,45,96,1.01,CA,2022-09-23 20:32:57,overcast clouds
129,Provideniya,64.3833,-173.3,42.76,75,100,15.48,RU,2022-09-23 20:32:58,overcast clouds
130,Turayf,31.6725,38.6637,73.65,46,0,0.0,SA,2022-09-23 20:32:58,clear sky
131,Saint George,37.1041,-113.5841,89.8,23,0,3.0,US,2022-09-23 20:32:59,clear sky
132,Tessalit,20.1986,1.0114,93.6,14,49,3.22,ML,2022-09-23 20:32:59,scattered clouds
133,Bengkulu,-3.8004,102.2655,74.61,91,96,4.65,ID,2022-09-23 20:32:59,overcast clouds
134,Hasaki,35.7333,140.8333,79.21,87,98,16.33,JP,2022-09-23 20:29:33,overcast clouds
135,Hobyo,5.3505,48.5268,75.78,86,2,18.68,SO,2022-09-23 20:34:00,clear sky
136,San Luis Obispo,35.3666,-120.5343,87.26,25,0,5.75,US,2022-09-23 20:34:00,clear sky
137,Luanda,-8.8368,13.2343,73.4,83,20,9.22,AO,2022-09-23 20:34:01,few clouds
138,Saskylakh,71.9167,114.0833,18.68,92,93,3.71,RU,2022-09-23 20:34:01,overcast clouds
139,Kayes,14.0,-11.0,73.62,95,100,4.7,ML,2022-09-23 20:34:02,moderate rain
140,Maniitsoq,65.4167,-52.9,42.1,98,100,20.89,GL,2022-09-23 20:34:03,moderate rain
141,Castro,-24.7911,-50.0119,52.92,71,0,2.98,BR,2022-09-23 20:34:03,clear sky
142,Torbay,47.6666,-52.7314,62.76,91,100,19.57,CA,2022-09-23 20:29:04,overcast clouds
143,Zhigansk,66.7697,123.3711,27.81,78,50,6.6,RU,2022-09-23 20:34:04,scattered clouds
144,Prince Rupert,54.3161,-130.3201,53.29,90,100,31.07,CA,2022-09-23 20:30:14,light rain
145,Berezovyy,51.6667,135.7,48.16,97,100,3.18,RU,2022-09-23 20:34:05,overcast clouds
146,Jieshi,22.8134,115.8257,77.4,82,29,15.14,CN,2022-09-23 20:34:06,scattered clouds
147,Bambous Virieux,-20.3428,57.7575,72.21,94,75,12.66,MU,2022-09-23 20:34:06,light rain
148,Leshukonskoye,64.8989,45.7622,42.26,89,100,3.47,RU,2022-09-23 20:34:06,overcast clouds
149,Dingle,10.9995,122.6711,73.72,92,99,2.13,PH,2022-09-23 20:34:07,overcast clouds
150,Maarianhamina,60.0973,19.9348,53.46,94,0,5.75,AX,2022-09-23 20:34:07,clear sky
151,Laguna,38.421,-121.4238,89.08,37,0,4.61,US,2022-09-23 20:34:08,clear sky
152,Rorvik,64.8621,11.2373,51.91,93,75,2.3,NO,2022-09-23 20:34:08,broken clouds
153,Bredasdorp,-34.5322,20.0403,51.21,67,100,5.12,ZA,2022-09-23 20:34:09,overcast clouds
154,Wiarton,44.7407,-81.1332,61.03,54,20,6.91,CA,2022-09-23 20:34:09,few clouds
155,Mount Isa,-20.7333,139.5,65.97,39,0,8.05,AU,2022-09-23 20:30:45,clear sky
156,Palmer,42.1584,-72.3287,59.07,49,40,20.71,US,2022-09-23 20:34:10,scattered clouds
157,Oranjestad,12.524,-70.027,84.15,70,20,11.5,AW,2022-09-23 20:34:11,few clouds
158,Trincomalee,8.5711,81.2335,79.74,76,100,19.1,LK,2022-09-23 20:34:11,overcast clouds
159,Kaniama,-7.5667,24.1833,73.45,59,72,2.26,CD,2022-09-23 20:34:12,broken clouds
160,Dunedin,-45.8742,170.5036,46.8,88,96,4.0,NZ,2022-09-23 20:34:12,overcast clouds
161,Balkhash,46.844,74.9804,65.23,45,0,15.08,KZ,2022-09-23 20:34:12,clear sky
